source,target,dist,street_name
240648915,240648916,42.41,Ganzemanstraat
240648915,240648913,54.18,Ganzemanstraat
240648915,11457638002,20.15,Buurtweg 27
240648916,240648917,42.48,Ganzemanstraat
240648916,240648915,42.41,Ganzemanstraat
240648917,240648918,40.23,Ganzemanstraat
240648917,240648916,42.48,Ganzemanstraat
240648918,240648919,54.18,Ganzemanstraat
240648918,240648917,40.23,Ganzemanstraat
240648919,203370581,25.71,Ganzemanstraat
240648919,240648918,54.18,Ganzemanstraat
181319124,3352014902,30.12,Papenstraat
181319124,3909017960,8.45,Papenstraat
181319124,1231104896,76.34,Bachterweg -  Voetweg 31
9246343900,142668528,4.25,Avenue de l'Émeraude - Smaragdlaan
9246343900,9246343901,4.47,Avenue de l'Émeraude - Smaragdlaan
9246343901,9246343900,4.47,Avenue de l'Émeraude - Smaragdlaan
9246343901,1793367598,5.65,Avenue de l'Émeraude - Smaragdlaan
9246343901,9246358267,6.93,Unnamed road
9246343901,9246358268,7.66,Unnamed road
181319126,528699386,8.2,Papenstraat
13228001314,13228001315,9.27,Unnamed road
13228001314,13228001313,18.97,Unnamed road
13149533963,13149533964,20.77,Unnamed road
13149533963,13149533962,25.52,Unnamed road
13228001315,13228001316,9.53,Unnamed road
13228001315,13228001314,9.27,Unnamed road
13149533964,13149533965,4.3,Unnamed road
13149533964,13149533963,20.77,Unnamed road
13149533964,13149534039,7.63,Unnamed road
13228001316,13228001317,8.9,Unnamed road
13228001316,13228001315,9.53,Unnamed road
13228001319,11185905233,23.84,Veldstraat
13228001319,13228001322,6.49,Veldstraat
13228001320,11185971773,31.3,Unnamed road
13228001320,11185971772,3.69,Unnamed road
5101576398,5101576397,2.85,Unnamed road
5101576398,5101576399,5.73,Unnamed road
13228001321,13228001312,7.42,Unnamed road
13228001321,11185971772,11.53,Unnamed road
13228001322,13228001319,6.49,Veldstraat
13228001322,11185971772,2.03,Veldstraat
13228001322,13228001323,3.54,Unnamed road
4451468056,4451468058,16.67,Rue Théodore Roosevelt - Théodore Rooseveltstraat
4451468056,5682256487,4.17,Unnamed road
4451468056,5682256488,3.62,Unnamed road
4451468057,4207752186,2.68,Rue du Noyer - Notelaarsstraat / Rue du Noyer - Notelaarstraat
4451468057,139607830,9.75,Rue du Noyer - Notelaarsstraat / Rue du Noyer - Notelaarstraat
4451468057,5682256490,3.84,Unnamed road
4451468057,5682256491,3.95,Unnamed road
4451468060,1244769971,26.22,Rue du Noyer - Notelaarsstraat / Rue du Noyer - Notelaarstraat
4451468060,4207752186,12.01,Rue du Noyer - Notelaarsstraat / Rue du Noyer - Notelaarstraat
13158318901,13158307061,2.9,Unnamed road
13158318901,13158307060,2.29,Unnamed road
13158318901,13158307100,6.7,Unnamed road
13158318902,13158307091,33.52,Unnamed road
13158318902,13158307090,21.68,Unnamed road
13158318902,17056051,4.43,Unnamed road
9653715767,9653715771,5.6,Unnamed road
9653715767,6770758414,5.67,Unnamed road
9653715767,9653715772,4.79,Unnamed road
9653715768,9653715773,55.79,Unnamed road
9653715768,9653715776,1.73,Unnamed road
9653715769,6770758416,14.9,Unnamed road
9653715769,9653715770,31.76,Unnamed road
9653715769,4431328327,3.1,Unnamed road
9653715770,9653715769,31.76,Unnamed road
9653715770,9653715771,2.01,Unnamed road
9653715771,9653715770,2.01,Unnamed road
9653715771,9653715767,5.6,Unnamed road
9653715771,4431328325,3.53,Unnamed road
13158318908,13158318910,1.16,Oud-Heverleestraat
13158318908,13158318911,0.85,Oud-Heverleestraat
13158318909,1035736092,30.79,Oud-Heverleestraat
13158318909,13158318910,3.4,Oud-Heverleestraat
13158318910,13158318909,3.4,Oud-Heverleestraat
13158318910,13158318908,1.16,Oud-Heverleestraat
13158318911,13158318908,0.85,Oud-Heverleestraat
13158318911,13158318912,3.37,Oud-Heverleestraat
13158318912,13158318911,3.37,Oud-Heverleestraat
13158318912,13097084002,47.8,Oud-Heverleestraat
9653715772,9653715767,4.79,Unnamed road
9653715772,9653715773,46.69,Unnamed road
9653715773,9653715768,55.79,Unnamed road
9653715773,9653715772,46.69,Unnamed road
9653715776,9491844135,2.51,Unnamed road
9653715776,9653715775,2.29,Unnamed road
9653715776,9653715768,1.73,Unnamed road
9653715775,9491844137,6.96,Unnamed road
9653715775,9653715776,2.29,Unnamed road
9653715780,9653715814,60.46,Unnamed road
9653715780,9656744705,1.55,Unnamed road
9653715780,9653715779,1.06,Unnamed road
9653715779,9653715780,1.06,Unnamed road
9653715779,9653715778,1.04,Unnamed road
13158318919,13158318920,5.4,Oud-Heverleestraat
13158318919,13156907232,131.2,Oud-Heverleestraat
13158318920,13158318921,8.59,Oud-Heverleestraat
13158318920,13158318919,5.4,Oud-Heverleestraat
13158318921,13097084002,3.42,Oud-Heverleestraat
13158318921,13158318920,8.59,Oud-Heverleestraat
9653715778,9653715779,1.04,Unnamed road
9653715778,9653715777,62.79,Unnamed road
11335369538,11335369537,3.69,Unnamed road
11335369538,11335369544,74.99,Unnamed road
11335369538,11335369527,105.93,Unnamed road
11335369544,11335369538,74.99,Unnamed road
11335369544,11335369546,3.07,Unnamed road
11335369544,11335369543,12.16,Unnamed road
11335369546,11335369544,3.07,Unnamed road
11335369546,6046848763,3.28,Unnamed road
11335369543,11335369545,3.26,Unnamed road
11335369543,11335369536,44.37,Unnamed road
11335369543,11335369544,12.16,Unnamed road
13158318927,13158318928,1.55,Oud-Heverleestraat
13158318927,13158318931,4.0,Oud-Heverleestraat
13158318928,13158318929,2.09,Oud-Heverleestraat
13158318928,13158318927,1.55,Oud-Heverleestraat
13158318929,13158318930,4.81,Oud-Heverleestraat
13158318929,13158318928,2.09,Oud-Heverleestraat
13158318930,13156907232,4.78,Oud-Heverleestraat
13158318930,13158318929,4.81,Oud-Heverleestraat
13158318931,13158318927,4.0,Oud-Heverleestraat
13158318931,17056051,36.35,Oud-Heverleestraat
7298876244,7277909590,21.08,Leeuwerikenstraat
7298876244,7277805072,4.04,Leeuwerikenstraat
7298876244,7298876243,33.38,Unnamed road
7298876243,7298876244,33.38,Unnamed road
9653715797,2402376806,3.48,Unnamed road
9653715797,9653715798,1.06,Unnamed road
9653715798,9653715793,0.13,Unnamed road
9653715798,9653715797,1.06,Unnamed road
9653715798,9653715794,0.58,Unnamed road
13158318936,13158318937,5.24,Oud-Heverleestraat
13158318936,13158318946,4.31,Oud-Heverleestraat
13158318937,13158318940,4.98,Oud-Heverleestraat
13158318937,13158318936,5.24,Oud-Heverleestraat
13158318938,13158318939,5.02,Oud-Heverleestraat
13158318938,13158318940,4.34,Oud-Heverleestraat
13158318939,17056051,27.38,Oud-Heverleestraat
13158318939,13158318938,5.02,Oud-Heverleestraat
13158318940,13158318938,4.34,Oud-Heverleestraat
13158318940,13158318937,4.98,Oud-Heverleestraat
13149533984,13149533985,17.65,Unnamed road
13149533984,13149533983,14.46,Unnamed road
11335369564,11335369529,5.47,Unnamed road
11335369564,11335369528,1.84,Unnamed road
